COOPID,WBNID,CD,ELEM,UN,YEAR,A,S,MO,DA,  JAN ,F,F,MO,DA,  FEB ,F,F,MO,DA,  MAR ,F,F,MO,DA,  APR ,F,F,MO,DA,  MAY ,F,F,MO,DA,  JUN ,F,F,MO,DA,  JUL ,F,F,MO,DA,  AUG ,F,F,MO,DA,  SEP ,F,F,MO,DA,  OCT ,F,F,MO,DA,  NOV ,F,F,MO,DA,  DEC ,F,F,MO,DA,ANNUAL,F,F
040693,99999,04,TPCP,HI,1936,9,9,01,00, 00649, , ,02,00, 00894, , ,03,00, 00129, , ,04,00, 00157, , ,05,00, 00106, , ,06,00, 00045, , ,07,00, 00008, , ,08,00, 00000,T, ,09,00, 00000, , ,10,00, 00057, , ,11,00, 00000,T, ,12,00, 00333, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1937,9,9,01,00, 00556, , ,02,00, 00600, , ,03,00, 00847, , ,04,00, 00093, , ,05,00, 00013, , ,06,00, 00065, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000,T, ,10,00, 00116, , ,11,00, 00342, , ,12,00, 00499, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1938,9,9,01,00, 00371, , ,02,00, 00912, , ,03,00, 00633, , ,04,00, 00224, , ,05,00, 00001, , ,06,00, 00000, , ,07,00, 00002, , ,08,00, 00000, , ,09,00, 00009, , ,10,00, 00164, , ,11,00, 00158, , ,12,00, 00155, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1939,9,9,01,00, 00267, , ,02,00, 00140, , ,03,00, 00336, , ,04,00, 00030, , ,05,00, 00072, , ,06,00, 00001, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00074, , ,10,00, 00067, , ,11,00, 00031, , ,12,00, 00089, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1940,9,9,01,00, 01048, , ,02,00, 01002, , ,03,00, 00608, , ,04,00, 00056, , ,05,00, 00086, , ,06,00, 00002, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00027, , ,10,00, 00097, , ,11,00, 00189, , ,12,00, 00598, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1941,9,9,01,00, 00757, , ,02,00, 00690, , ,03,00, 00472, , ,04,00, 00466, , ,05,00, 00160, , ,06,00, 00004, , ,07,00, 00010, , ,08,00, 00003, , ,09,00, 00001, , ,10,00, 00086, , ,11,00, 00246, , ,12,00, 00753, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1942,9,9,01,00, 00518, , ,02,00, 00450, , ,03,00, 00280, , ,04,00, 00425, , ,05,00, 00183, , ,06,00, 00000, , ,07,00, 00002, , ,08,00, 00001, , ,09,00, 00025, , ,10,00, 00121, , ,11,00, 00404, , ,12,00, 00267, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1943,9,9,01,00, 00748, , ,02,00, 00160, , ,03,00, 00312, , ,04,00, 00203, , ,05,00, 00005, , ,06,00, 00003, , ,07,00, 00000,T, ,08,00, 00000, , ,09,00, 00001, , ,10,00, 00074, , ,11,00, 00087, , ,12,00, 00240, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1944,9,9,01,00, 00336, , ,02,00, 00631, , ,03,00, 00104, , ,04,00, 00240, , ,05,00, 00112, , ,06,00, 00029, , ,07,00, 00000,T, ,08,00, 00001, , ,09,00, 00000, , ,10,00, 00196, , ,11,00, 00607, , ,12,00, 00342, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1945,9,9,01,00, 00102, , ,02,00, 00460, , ,03,99,-99999,M, ,04,00, 00040, , ,05,99,-99999,M, ,06,00, 00000,T, ,07,00, 00003, , ,08,00, 00000, , ,09,00, 00001, , ,10,00, 00204, , ,11,00, 00298, , ,12,00, 00780, , ,13,99,-99999,M, 
