COOPID,WBNID,CD,ELEM,UN,YEAR,A,S,MO,DA,  JAN ,F,F,MO,DA,  FEB ,F,F,MO,DA,  MAR ,F,F,MO,DA,  APR ,F,F,MO,DA,  MAY ,F,F,MO,DA,  JUN ,F,F,MO,DA,  JUL ,F,F,MO,DA,  AUG ,F,F,MO,DA,  SEP ,F,F,MO,DA,  OCT ,F,F,MO,DA,  NOV ,F,F,MO,DA,  DEC ,F,F,MO,DA,ANNUAL,F,F
040693,99999,04,TPCP,HI,1997,9,9,01,00, 00954, , ,02,00, 00020, , ,03,99,-99999,M, ,04,00, 00064, , ,05,00, 00021, , ,06,00, 00026, , ,07,00, 00001, , ,08,00, 00114, , ,09,00, 00004, , ,10,00, 00127, , ,11,00, 00725, , ,12,00, 00434, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1998,9,9,01,00, 01063, , ,02,00, 01449, , ,03,00, 00253, , ,04,00, 00225, , ,05,00, 00282, , ,06,00, 00003, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00011, , ,10,00, 00067, , ,11,00, 00495, , ,12,00, 00124, , ,13,00, 03972, , 
040693,99999,04,TPCP,HI,1999,9,9,01,00, 00486, , ,02,00, 00811, , ,03,00, 00281, , ,04,00, 00233, , ,05,00, 00010, , ,06,00, 00006, , ,07,00, 00000, , ,08,00, 00008, , ,09,00, 00008, , ,10,00, 00000, , ,11,00, 00387, , ,12,00, 00045, , ,13,00, 02275, , 
040693,99999,04,TPCP,HI,2000,9,9,01,00, 00798, , ,02,00, 01156, , ,03,00, 00277, , ,04,00, 00146, , ,05,00, 00148, , ,06,00, 00023, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00036, , ,10,00, 00376, , ,11,00, 00078, , ,12,00, 00099, , ,13,00, 03137, , 
040693,99999,04,TPCP,HI,2001,9,9,01,00, 00386, , ,02,00, 00926, , ,03,00, 00130, , ,04,00, 00157, , ,05,00, 00000, , ,06,00, 00009, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00026, , ,10,00, 00048, , ,11,00, 00496, , ,12,00, 01079, , ,13,00, 03257, , 
040693,99999,04,TPCP,HI,2002,9,9,01,00, 00203, , ,02,00, 00176, , ,03,00, 00402, , ,04,00, 00031, , ,05,00, 00131, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00006, , ,09,00, 00000, , ,10,00, 00000, , ,11,00, 00240, , ,12,00, 01260, , ,13,00, 02449, , 
040693,99999,04,TPCP,HI,2003,9,9,01,00, 00441, , ,02,00, 00217, , ,03,00, 00225, , ,04,00, 00371, , ,05,00, 00079, , ,06,00, 00000, , ,07,00, 00000,T, ,08,00, 00000, , ,09,00, 00001, , ,10,00, 00005, , ,11,00, 00210, , ,12,00, 00830, , ,13,00, 02379, , 
040693,99999,04,TPCP,HI,2004,9,9,01,00, 00340, , ,02,00, 00751, , ,03,00, 00091, , ,04,00, 00047, , ,05,00, 00012, , ,06,00, 00000, , ,07,00, 00001, , ,08,00, 00001, , ,09,00, 00053, , ,10,00, 00285, , ,11,00, 00194, , ,12,00, 00841, , ,13,00, 02616, , 
040693,99999,04,TPCP,HI,2005,9,9,01,00, 00433, , ,02,00, 00439, , ,03,00, 00479, , ,04,00, 00217, , ,05,00, 00184, , ,06,00, 00106, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000,T, ,10,00, 00045, , ,11,00, 00232, , ,12,00, 01349, , ,13,00, 03484, , 
040693,99999,04,TPCP,HI,2006,9,9,01,00, 00403, , ,02,00, 00323, , ,03,00, 00942, , ,04,00, 00532, , ,05,00, 00052, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00061, , ,11,00, 00205, , ,12,00, 00453, , ,13,00, 02971, , 
040693,99999,04,TPCP,HI,2007,9,9,01,00, 00100, , ,02,00, 00579, , ,03,00, 00064, , ,04,00, 00156, , ,05,00, 00059, , ,06,00, 00000, , ,07,00, 00005, , ,08,00, 00000, , ,09,00, 00014, , ,10,00, 00243, , ,11,00, 00095, , ,12,00, 00417, , ,13,00, 01732, , 
040693,99999,04,TPCP,HI,2008,9,9,01,99,-99999,M, ,02,00, 00295, , ,03,00, 00030, , ,04,00, 00016, , ,05,00, 00002, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00048, , ,11,00, 00321, , ,12,00, 00259, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,2009,9,9,01,00, 00091, , ,02,00, 00990, , ,03,00, 00360, , ,04,00, 00039, , ,05,00, 00196, , ,06,00, 00005, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00044, , ,10,00, 00479, , ,11,99,-99999,M, ,12,99,-99999,M, ,13,99,-99999,M, 
